symbol,ex_dividend_date,dividend_receive_date,dividend_amount
00926,2023-12-18,2024-01-12,0.23
00690,2023-11-21,2023-12-14,1.0
00731,2023-11-21,2023-12-15,1.1
00929,2023-11-21,2023-12-15,0.11
00775B,2023-11-20,2023-12-15,0.35
0051,2023-11-16,2023-12-12,2.5
0053,2023-11-16,2023-12-12,1.9
0055,2023-11-16,2023-12-12,0.6
006208,2023-11-16,2023-12-12,0.861
00692,2023-11-16,2023-12-12,1.062
00771,2023-11-16,2023-12-12,0.18
00850,2023-11-16,2023-12-12,0.7
00878,2023-11-16,2023-12-12,0.35
00891,2023-11-16,2023-12-12,0.27
00892,2023-11-16,2023-12-12,0.198
00894,2023-11-16,2023-12-12,0.09
00900,2023-11-16,2023-12-12,0.224
00901,2023-11-16,2023-12-13,0.628
00929,2023-10-24,2023-11-17,0.11
00904,2023-10-23,2023-11-17,0.13
0056,2023-10-19,2023-11-14,1.2
006204,2023-10-19,2023-11-17,3.959
00714,2023-10-19,2023-11-14,0.112
00717,2023-10-19,2023-11-14,0.176
00730,2023-10-19,2023-11-14,1.136
00733,2023-10-19,2023-11-14,1.2
00905,2023-10-19,2023-11-17,0.17
00907,2023-10-19,2023-11-17,0.141
00908,2023-10-19,2023-11-14,0.147
00912,2023-10-19,2023-11-14,0.2
00922,2023-10-19,2023-11-14,0.57
00927,2023-10-19,2023-11-14,0.22
00921,2023-09-21,2023-10-19,0.4
00710B,2023-09-19,2023-10-18,0.26
00711B,2023-09-19,2023-10-18,0.19
00712,2023-09-19,2023-10-18,0.19
00929,2023-09-19,2023-10-18,0.11
00713,2023-09-18,2023-10-17,0.84
00896,2023-09-18,2023-10-17,0.33
00915,2023-09-18,2023-10-17,0.7
00918,2023-09-18,2023-10-17,0.75
00919,2023-09-18,2023-10-17,0.54
00913,2023-08-21,2023-09-12,0.7
00775B,2023-08-18,2023-09-15,0.3
00731,2023-08-17,2023-09-12,1.22
00929,2023-08-17,2023-09-12,0.11
00701,2023-08-16,2023-09-11,0.2
00771,2023-08-16,2023-09-11,0.19
00850,2023-08-16,2023-09-11,0.68
00878,2023-08-16,2023-09-11,0.35
00881,2023-08-16,2023-09-11,0.46
00891,2023-08-16,2023-09-11,0.22
00894,2023-08-16,2023-09-11,0.26
00900,2023-08-16,2023-09-11,0.61
00907,2023-08-16,2023-09-12,0.308
00923,2023-08-16,2023-09-11,0.561
00904,2023-07-20,2023-08-18,0.11
00929,2023-07-19,2023-08-14,0.11
0050,2023-07-18,2023-08-11,1.9
0056,2023-07-18,2023-08-11,1.0
006203,2023-07-18,2023-08-11,0.9
006208,2023-07-18,2023-08-11,1.352
00692,2023-07-18,2023-08-11,0.732
00702,2023-07-18,2023-08-11,0.3
00714,2023-07-18,2023-08-11,0.12
00717,2023-07-18,2023-08-11,0.156
00735,2023-07-18,2023-08-11,1.2
00736,2023-07-18,2023-08-11,0.13
00882,2023-07-18,2023-08-11,0.4
00892,2023-07-18,2023-08-11,0.281
00905,2023-07-18,2023-08-14,0.18
00908,2023-07-18,2023-08-11,0.175
00912,2023-07-18,2023-08-11,0.18
00927,2023-07-18,2023-08-11,0.22
00921,2023-06-21,2023-07-18,0.37
00710B,2023-06-20,2023-07-14,0.26
00711B,2023-06-20,2023-07-14,0.19
00712,2023-06-20,2023-07-14,0.27
00713,2023-06-16,2023-07-14,0.68
00896,2023-06-16,2023-07-14,0.15
00907,2023-06-16,2023-07-14,0.074
00915,2023-06-16,2023-07-13,0.32
00916,2023-06-16,2023-07-14,0.17
00918,2023-06-16,2023-07-14,0.2
00919,2023-06-16,2023-07-14,0.54
00690,2023-05-22,2023-06-14,1.5
00775B,2023-05-19,2023-06-16,0.32
00771,2023-05-17,2023-06-15,0.18
00878,2023-05-17,2023-06-12,0.27
00891,2023-05-17,2023-06-12,0.13
00894,2023-05-17,2023-06-12,0.1
00900,2023-05-17,2023-06-12,0.017
00904,2023-04-25,2023-05-22,0.105
0052,2023-04-21,2023-05-18,4.0
00714,2023-04-21,2023-05-18,0.133
00717,2023-04-21,2023-05-18,0.144
00733,2023-04-21,2023-05-18,0.114
00907,2023-04-21,2023-05-22,0.141
00908,2023-04-21,2023-05-18,0.113
00909,2023-04-21,2023-05-18,0.225
00912,2023-04-21,2023-05-18,0.29
00710B,2023-03-21,2023-04-20,0.26
00711B,2023-03-21,2023-04-20,0.19
