symbol,ex_dividend_date,dividend_receive_date,dividend_amount
0051,2015-11-24,2015-12-28,0.85
0053,2015-11-24,2015-12-28,0.9
0054,2015-11-24,2015-12-28,0.7
0055,2015-11-24,2015-12-28,0.45
0060,2015-11-24,2015-12-28,0.8
006203,2015-11-24,2015-12-28,1.0
006208,2015-10-29,2015-12-02,0.845
006204,2015-10-27,2015-11-23,1.55
0050,2015-10-26,2015-11-26,2.0
0056,2015-10-26,2015-11-26,1.0
0080,2015-06-26,2015-07-31,7.308
0081,2015-06-26,2015-07-31,19.488
0080,2014-12-12,2015-01-02,6.147
0081,2014-12-12,2015-01-02,13.1136
0051,2014-11-25,2014-12-29,0.75
0053,2014-11-25,2014-12-29,0.9
0054,2014-11-25,2014-12-29,0.6
0055,2014-11-25,2014-12-29,0.4
0060,2014-11-25,2014-12-29,0.65
006203,2014-11-25,2014-12-29,0.75
006208,2014-10-29,2014-12-02,1.212
0050,2014-10-24,2014-11-27,1.55
0056,2014-10-24,2014-11-27,1.0
006204,2014-10-24,2014-11-21,0.72
0080,2014-06-26,2014-07-23,5.7615
0081,2014-06-26,2014-07-23,17.2845
0052,2014-05-06,2014-06-05,2.462
0080,2013-12-13,2014-01-02,4.8768
0081,2013-12-13,2014-01-02,7.296
0051,2013-11-25,2013-12-27,0.8
0053,2013-11-25,2013-12-27,0.75
0054,2013-11-25,2013-12-27,0.5
0055,2013-11-25,2013-12-27,0.35
0060,2013-11-25,2013-12-27,1.0
006203,2013-11-25,2013-12-27,0.85
006208,2013-10-30,2013-12-02,0.629
006204,2013-10-25,2013-11-22,0.9
0050,2013-10-24,2013-11-27,1.35
0056,2013-10-24,2013-11-27,0.85
0080,2013-06-27,2013-07-22,4.9738
0081,2013-06-27,2013-07-22,17.217
0080,2012-12-14,2013-01-02,5.208
0081,2012-12-14,2013-01-02,7.068
0051,2012-11-22,2012-12-25,0.75
0053,2012-11-22,2012-12-25,0.55
0054,2012-11-22,2012-12-25,0.65
0055,2012-11-22,2012-12-25,0.25
0060,2012-11-22,2012-12-25,0.5
006203,2012-11-22,2012-12-25,0.7
006208,2012-11-01,2012-12-03,1.844
006204,2012-10-26,2012-11-23,1.21
0050,2012-10-24,2012-11-27,1.85
0056,2012-10-24,2012-11-27,1.3
0080,2012-07-02,2012-07-20,4.9946
0081,2012-07-02,2012-07-20,17.289
0052,2012-05-07,2012-06-05,2.374
0058,2012-05-07,2012-06-05,1.998
0059,2012-05-07,2012-06-05,1.389
0080,2011-12-16,2012-01-03,3.4776
0081,2011-12-16,2012-01-03,8.1144
0051,2011-11-23,2011-12-27,0.9
0053,2011-11-23,2011-12-27,1.0
0054,2011-11-23,2011-12-27,1.0
0055,2011-11-23,2011-12-27,0.3
0060,2011-11-23,2011-12-27,1.3
006203,2011-11-23,2011-12-27,0.8
0050,2011-10-26,2011-11-29,1.95
0056,2011-10-26,2011-11-29,2.2
0080,2011-07-01,2011-07-18,5.514
0081,2011-07-01,2011-07-18,16.542
0080,2010-12-17,2011-01-03,2.6145
0081,2010-12-17,2011-01-03,9.711
0051,2010-11-23,2010-12-27,0.9
0053,2010-11-23,2010-12-27,1.0
0054,2010-11-23,2010-12-27,0.7
0055,2010-11-23,2010-12-27,0.4
0050,2010-10-25,2010-11-26,2.2
A00013,2010-10-25,2010-11-26,
0080,2010-06-25,2010-07-09,3.276
0081,2010-06-25,2010-07-09,11.466
0052,2010-05-03,2010-06-03,1.4
0058,2010-05-03,2010-06-03,2.2
0080,2009-12-18,2010-01-04,0.0
0080,2009-12-18,2010-01-04,0.0
0081,2009-12-18,2010-01-04,0.0
0081,2009-12-18,2010-01-04,0.0
0051,2009-11-24,2009-12-28,1.7
0050,2009-10-23,2009-11-26,1.0
0056,2009-10-23,2009-11-26,2.0
0052,2009-04-28,2009-06-05,1.461
0050,2008-10-24,2008-12-03,2.0
0051,2007-11-23,2007-12-28,0.77
0054,2007-11-23,2007-12-28,0.35
0050,2007-10-24,2007-12-03,2.5
0050,2006-10-26,2006-12-01,4.0
0050,2005-05-19,2005-06-13,1.85
